,song,artist
3008,Rumor,Lee Brice
3009,Walk Me Home,P!nk
3010,Look What God Gave Her,Thomas Rhett
3011,Good As You,Kane Brown
3012,Girls Need Love,Summer Walker X Drake
3013,Ocean Eyes,Billie Eilish
3014,Please Me,Cardi B & Bruno Mars
3015,Eyes On You,Chase Rice
3016,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande
3017,Miss Me More,Kelsea Ballerini
3018,Bury A Friend,Billie Eilish
3019,Put A Date On It,Yo Gotti Featuring Lil Baby
3020,Murder On My Mind,YNW Melly
3021,Thotiana,Blueface
3022,Here Tonight,Brett Young
3023,Baby Shark,Pinkfong
3024,Make It Sweet,Old Dominion
3025,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine
3026,This Is It,Scotty McCreery
3027,Ella Quiere Beber,Anuel AA & Romeo Santos
3028,Backin' It Up,Pardison Fontaine Featuring Cardi B
3029,This Feeling,The Chainsmokers Featuring Kelsea Ballerini
3030,Uproar,Lil Wayne
3031,No Stylist,French Montana Featuring Drake
3032,Best Shot,Jimmie Allen
3033,Dangerous,Meek Mill Featuring Jeremih & PnB Rock
3034,Lie,NF
3035,That's On Me,Yella Beezy
3036,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz
3037,Ring,Cardi B Featuring Kehlani
3038,Lose It,Kane Brown
3039,I'm A Mess,Bebe Rexha
3040,Simple,Florida Georgia Line
3041,Medicine,Queen Naija
3042,All Girls Are The Same,Juice WRLD
3043,Mercy,Brett Young
3044,Moonlight,XXXTENTACION
3045,Changes,XXXTENTACION
3046,Be Careful,Cardi B
3047,Up Down,Morgan Wallen Featuring Florida Georgia Line
3048,Sit Next To Me,Foster The People
3049,One Number Away,Luke Combs
3050,Freaky Friday,Lil Dicky Featuring Chris Brown
3051,Jocelyn Flores,XXXTENTACION
3052,Plug Walk,Rich The Kid
3053,F**k Love,XXXTENTACION Featuring Trippie Redd
3054,Pray For Me,The Weeknd & Kendrick Lamar
3055,You Make It Easy,Jason Aldean
3056,El Farsante,Ozuna & Romeo Santos
3057,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake"
3058,Red Roses,Lil Skies Featuring Landon Cube
3059,Bartier Cardi,Cardi B Featuring 21 Savage
3060,Candy Paint,Post Malone
3061,Broken Halos,Chris Stapleton
3062,Greatest Love Story,LANCO
3063,I Could Use A Love Song,Maren Morris
3064,When It Rains It Pours,Luke Combs
3065,Unforgettable,Thomas Rhett
3066,Love Galore,SZA Featuring Travis Scott
3067,Escapate Conmigo,Wisin Featuring Ozuna
3068,It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko"
3069,Small Town Boy,Dustin Lynch
3070,Felices Los 4,Maluma
3071,Drinkin' Problem,Midland
3072,Magnolia,Playboi Carti
3073,My Girl,Dylan Scott
3074,DNA.,Kendrick Lamar
3075,Now Or Never,Halsey
3076,Everyday We Lit,YFN Lucci Featuring PnB Rock
3077,You Look Good,Lady Antebellum
3078,Craving You,Thomas Rhett Featuring Maren Morris
3079,First Day Out,Tee Grizzley
3080,Passionfruit,Drake
3081,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign
3082,Slide,Calvin Harris Featuring Frank Ocean & Migos
3083,Tunnel Vision,Kodak Black
3084,Cold,Maroon 5 Featuring Future
3085,Look At Me!,XXXTENTACION
3086,Paris,The Chainsmokers
3087,The Weekend,Brantley Gilbert
3088,Party,Chris Brown Featuring Usher & Gucci Mane
3089,How Far I'll Go,Auli'i Cravalho
3090,Deja Vu,J. Cole
3091,Dirt On My Boots,Jon Pardi
3092,Play That Song,Train
3093,Million Reasons,Lady Gaga
3094,Better Man,Little Big Town
3095,Wanna Be That Song,Brett Eldredge
3096,HandClap,Fitz And The Tantrums
3097,OOOUUU,Young M.A
3098,May We All,Florida Georgia Line Featuring Tim McGraw
3099,Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert
3100,Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo
3101,Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross"
3102,1 Night,Lil Yachty
3103,Setting The World On Fire,Kenny Chesney Featuring P!nk
3104,Tiimmy Turner,Desiigner
3105,Middle Of A Memory,Cole Swindell
3106,No Limit,Usher Featuring Young Thug
3107,For Free,DJ Khaled Featuring Drake
3108,Different For Girls,Dierks Bentley Featuring Elle King
3109,THat Part,ScHoolboy Q Featuring Kanye West
3110,You Don't Own Me,Grace Featuring G-Eazy
3111,Peter Pan,Kelsea Ballerini
3112,Me Too,Meghan Trainor
3113,Don't Mind,Kent Jones
3114,Sorry,Beyonce
3115,Wicked,Future
3116,Record Year,Eric Church
3117,Uber Everywhere,MadeinTYO
3118,Pop Style,Drake Featuring The Throne
3119,All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared"
3120,Close,Nick Jonas Featuring Tove Lo
3121,"Huntin', Fishin' & Lovin' Every Day",Luke Bryan
3122,Light It Up,Major Lazer Featuring Nyla & Fuse ODG
3123,No,Meghan Trainor
3124,T-Shirt,Thomas Rhett
3125,Cut It,O.T. Genasis Featuring Young Dolph
3126,Wild Things,Alessia Cara
3127,The Sound Of Silence,Disturbed
3128,Think Of You,Chris Young Duet With Cassadee Pope
3129,Humble And Kind,Tim McGraw
3130,Somewhere On A Beach,Dierks Bentley
3131,My Church,Maren Morris
3132,Snapback,Old Dominion
3133,Confession,Florida Georgia Line
3134,Kiss,Prince And The Revolution
3135,Back To Sleep,Chris Brown
3136,You Should Be Here,Cole Swindell
3137,Hands To Myself,Selena Gomez
3138,When We Were Young,Adele
3139,Best Friend,Young Thug
3140,Beautiful Drug,Zac Brown Band
3141,Stand By You,Rachel Platten
3142,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello
3143,In The Night,The Weeknd
3144,Adventure Of A Lifetime,Coldplay
3145,Perfect,One Direction
3146,Break Up In A Small Town,Sam Hunt
3147,Confident,Demi Lovato
3148,Stay A Little Longer,Brothers Osborne
3149,The Fix,Nelly Featuring Jeremih
3150,Big Rings,Drake & Future
3151,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz"
3152,Hit The Quan,iLoveMemphis
3153,Drag Me Down,One Direction
3154,Back To Back,Drake
3155,Strip It Down,Luke Bryan
3156,How Deep Is Your Love,Calvin Harris & Disciples
3157,Break Up With Him,Old Dominion
3158,Cool For The Summer,Demi Lovato
3159,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj
3160,Marvin Gaye,Charlie Puth Featuring Meghan Trainor
3161,Lose My Mind,Brett Eldredge
3162,This Could Be Us,Rae Sremmurd
3163,"John Cougar, John Deere, John 3:16",Keith Urban
3164,House Party,Sam Hunt
3165,Planez,Jeremih Featuring J. Cole
3166,Buy Me A Boat,Chris Janson
3167,Kick The Dust Up,Luke Bryan
3168,Crash And Burn,Thomas Rhett
3169,Nasty Freestyle,T-Wayne
3170,Be Real,Kid Ink Featuring DeJ Loaf
3171,Sangria,Blake Shelton
3172,Wet Dreamz,J. Cole
3173,Commas,Future
3174,Love You Like That,Canaan Smith
3175,Bright,Echosmith
3176,Sippin' On Fire,Florida Georgia Line
3177,Don't It,Billy Currington
3178,I Really Like You,Carly Rae Jepsen
3179,Smoke,A Thousand Horses
3180,Know Yourself,Drake
3181,One Last Time,Ariana Grande
3182,Energy,Drake
3183,Blessings,Big Sean Featuring Drake
3184,Lay Me Down,Sam Smith
3185,Chains,Nick Jonas
3186,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne
3187,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney
3188,Homegrown,Zac Brown Band
3189,Heartbeat Song,Kelly Clarkson
3190,Feeling Myself,Nicki Minaj Featuring Beyonce
3191,Ayo,Chris Brown & Tyga
3192,Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj & Young Thug
3193,A Guy Walks Into A Bar,Tyler Farr
3194,Outside,Calvin Harris Featuring Ellie Goulding
3195,Prayer In C,Lillywood & Robin Schulz
3196,7/11,Beyonce
3197,Homegrown Honey,Darius Rucker
3198,Night Changes,One Direction
3199,She Knows,Ne-Yo Featuring Juicy J
3200,CoCo,O.T. Genasis
3201,Make Me Wanna,Thomas Rhett
3202,Mean To Me,Brett Eldredge
3203,The Heart Wants What It Wants,Selena Gomez
3204,Ghost,Ella Henderson
3205,Sun Daze,Florida Georgia Line
3206,Talladega,Eric Church
3207,Try Me,DeJ Loaf
3208,Often,The Weeknd
3209,Heroes (We Could Be),Alesso Featuring Tove Lo
3210,Something In The Water,Carrie Underwood
3211,Shotgun Rider,Tim McGraw
3212,***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie
3213,Blame,Calvin Harris Featuring John Newman
3214,"Touchin, Lovin",Trey Songz Featuring Nicki Minaj
3215,Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih"
3216,Somewhere In My Car,Keith Urban
3217,Neon Light,Blake Shelton
3218,Try,Colbie Caillat
3219,About The Money,T.I. Featuring Young Thug
3220,Girl In A Country Song,Maddie & Tae
3221,Fireball,Pitbull Featuring John Ryan
3222,No Flex Zone,Rae Sremmurd
3223,0 To 100 / The Catch Up,Drake
3224,Burnin' It Down,Jason Aldean
3225,Day Drinking,Little Big Town
3226,Roller Coaster,Luke Bryan
3227,Sunshine & Whiskey,Frankie Ballard
3228,Dirt,Florida Georgia Line
3229,Amnesia,5 Seconds Of Summer
3230,No Mediocre,T.I. Featuring Iggy Azalea
3231,American Kids,Kenny Chesney
3232,Hope You Get Lonely Tonight,Cole Swindell
3233,Small Town Throwdown,Brantley Gilbert Featuring Justin Moore & Thomas Rhett
3234,Shower,Becky G
3235,V. 3005,Childish Gambino
3236,Studio,ScHoolboy Q Featuring BJ The Chicago Kid
3237,Believe Me,Lil Wayne Featuring Drake
3238,Somethin' Bad,Miranda Lambert Duet With Carrie Underwood
3239,Bartender,Lady Antebellum
3240,Drunk On A Plane,Dierks Bentley
3241,Main Chick,Kid Ink Featuring Chris Brown
3242,"Where It's At (Yep, Yep)",Dustin Lynch
3243,Love Runs Out,OneRepublic
3244,Work,Iggy Azalea
3245,Love Never Felt So Good,Michael Jackson & Justin Timberlake
3246,Yeah,Joe Nichols
3247,We Dem Boyz,Wiz Khalifa
3248,I Don't Dance,Lee Brice
3249,Girls Chase Boys,Ingrid Michaelson
3250,Sing,Ed Sheeran
3251,Cut Her Off,KCamp Featuring 2 Chainz
3252,She Looks So Perfect,5 Seconds Of Summer
3253,Me And My Broken Heart,Rixton
3254,Beachin',Jake Owen
3255,Or Nah,Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard
3256,Play It Again,Luke Bryan
3257,Who Do You Love?,YG Featuring Drake
3258,Trophies,Young Money Featuring Drake
3259,La La La,Naughty Boy Featuring Sam Smith
3260,Lettin' The Night Roll,Justin Moore
3261,Beat Of The Music,Brett Eldredge
3262,The Worst,Jhene Aiko
3263,Human,Christina Perri
3264,On Top Of The World,Imagine Dragons
3265,Rewind,Rascal Flatts
3266,Get Me Some Of That,Thomas Rhett
3267,Give Me Back My Hometown,Eric Church
3268,Drink To That All Night,Jerrod Niemann
3269,The Man,Aloe Blacc
3270,Neon Lights,Demi Lovato
3271,Drunk In Love,Beyonce Featuring Jay Z
3272,Paranoid,Ty Dolla $ign Featuring B.o.B
3273,Do I Wanna Know?,Arctic Monkeys
3274,Helluva Life,Frankie Ballard
3275,Let It Go,Demi Lovato
3276,When She Says Baby,Jason Aldean
3277,Up Down (Do This All Day),T-Pain Featuring B.o.B
3278,Drink A Beer,Luke Bryan
3279,Compass,Lady Antebellum
3280,The Language,Drake
3281,Unconditionally,Katy Perry
3282,Chillin' It,Cole Swindell
3283,Rap God,Eminem
3284,Stay,Florida Georgia Line
3285,Friday Night,Eric Paslay
3286,It Won't Stop,Sevyn Streeter Featuring Chris Brown
3287,All Me,Drake Featuring 2 Chainz & Big Sean
3288,We Were Us,Keith Urban And Miranda Lambert
3289,Wasting All These Tears,Cassadee Pope
3290,Drunk Last Night,Eli Young Band
3291,I Luv This Sh*t,August Alsina Featuring Trinidad James
3292,Berzerk,Eminem
3293,Sunny And 75,Joe Nichols
3294,Slow Down,Selena Gomez
3295,Mine Would Be You,Blake Shelton
3296,Beware,Big Sean Featuring Lil Wayne & Jhene Aiko
3297,Southern Girl,Tim McGraw
3298,Red Nose,Sage The Gemini
3299,Type Of Way,Rich Homie Quan
3300,Aw Naw,Chris Young
3301,Still Into You,Paramore
3302,Tom Ford,JAY-Z
3303,Everything Has Changed,Taylor Swift Featuring Ed Sheeran
3304,Night Train,Jason Aldean
3305,Parking Lot Party,Lee Brice
3306,Crooked Smile,J. Cole Featuring TLC
3307,Round Here,Florida Georgia Line
3308,Redneck Crazy,Tyler Farr
3309,Little Bit Of Everything,Keith Urban
3310,Don't Ya,Brett Eldredge
3311,Runnin' Outta Moonlight,Randy Houser
3312,All Over The Road,Easton Corbin
3313,Tapout,"Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj"
3314,See You Again,Carrie Underwood
3315,Body Party,Ciara
3316,How Many Drinks?,Miguel
3317,I Want Crazy,Hunter Hayes
3318,U.O.E.N.O.,Rocko Featuring Future & Rick Ross
3319,Hey Pretty Girl,Kip Moore
3320,Rich As F**k,Lil Wayne Featuring 2 Chainz
3321,Anywhere With You,Jake Owen
3322,DONE.,The Band Perry
3323,Beat This Summer,Brad Paisley
3324,Highway Don't Care,Tim McGraw With Taylor Swift
3325,Heart Attack,Demi Lovato
3326,22,Taylor Swift
3327,Next To Me,Emeli Sande
3328,We Still In This B****,B.o.B Featuring T.I. & Juicy J
3329,Harlem Shake,Baauer
3330,Bugatti,Ace Hood Featuring Future & Rick Ross
3331,Alive,Krewella
3332,Downtown,Lady Antebellum
3333,Loveeeeeee Song,Rihanna Featuring Future
3334,Get Your Shine On,Florida Georgia Line
3335,Mama's Broken Heart,Miranda Lambert
3336,Love And War,Tamar Braxton
3337,Troublemaker,Olly Murs Featuring Flo Rida
3338,Sure Be Cool If You Did,Blake Shelton
3339,Give It All We Got Tonight,George Strait
3340,Carry On,fun.
3341,Pour It Up,Rihanna
3342,If I Didn't Have You,Thompson Square
3343,I Drive Your Truck,Lee Brice
3344,Battle Scars,Lupe Fiasco & Guy Sebastian
3345,All Gold Everything,Trinidad James
3346,Two Black Cadillacs,Carrie Underwood
3347,Neva End,Future
3348,One Of Those Nights,Tim McGraw
3349,Somebody's Heartbreak,Hunter Hayes
3350,I'm Different,2 Chainz
3351,Tornado,Little Big Town
3352,The Only Way I Know,Jason Aldean With Luke Bryan & Eric Church
3353,Better Dig Two,The Band Perry
3354,Wicked Games,The Weeknd
3355,Don't Judge Me,Chris Brown
3356,Skyfall,Adele
3357,Don't Stop The Party,Pitbull Featuring TJR
3358,Ball,T.I. Featuring Lil Wayne
3359,Va Va Voom,Nicki Minaj
3360,Anything Could Happen,Ellie Goulding
3361,Goodbye In Her Eyes,Zac Brown Band
3362,Every Storm (Runs Out Of Rain),Gary Allan
3363,Begin Again,Taylor Swift
3364,How Country Feels,Randy Houser
3365,Southern Comfort Zone,Brad Paisley
3366,Beer Money,Kip Moore
3367,Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz
3368,Til My Last Day,Justin Moore
3369,Feel Again,OneRepublic
3370,Kiss Tomorrow Goodbye,Luke Bryan
3371,Creepin',Eric Church
3372,Birthday Song,2 Chainz Featuring Kanye West
3373,Turn On The Lights,Future
3374,The One That Got Away,Jake Owen
3375,Come Wake Me Up,Rascal Flatts
3376,Take A Little Ride,Jason Aldean
3377,50 Ways To Say Goodbye,Train
3378,2 Reasons,Trey Songz Featuring T.I.
3379,Lovin' You Is Fun,Easton Corbin
3380,Want U Back,Cher Lloyd
3381,Pontoon,Little Big Town
3382,Lemme See,Usher Featuring Rick Ross
3383,Come Over,Kenny Chesney
3384,Angel Eyes,Love And Theft
3385,Let's Go,Calvin Harris Featuring Ne-Yo
3386,5-1-5-0,Dierks Bentley
3387,"Work Hard, Play Hard",Wiz Khalifa
3388,Tongue Tied,Grouplove
3389,Cashin' Out,Ca$h Out
3390,(Kissed You) Good Night,Gloriana
3391,Take It To The Head,"DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne"
3392,Back In Time,Pitbull
3393,Beez In The Trap,Nicki Minaj Featuring 2 Chainz
3394,Boyfriend,Justin Bieber
3395,One Thing,One Direction
3396,Crew Love,Drake Featuring The Weeknd
3397,Even If It Breaks Your Heart,Eli Young Band
3398,Leave You Alone,Young Jeezy Featuring Ne-Yo
3399,HYFR (Hell Ya F*****g Right),Drake Featuring Lil Wayne
3400,Bangarang,Skrillex Featuring Sirah
3401,Midnight City,M83.
3402,UP!,LoveRance Featuring IamSu & Skipper or 50 Cent
3403,Climax,Usher
3404,Good Girl,Carrie Underwood
3405,Fly Over States,Jason Aldean
3406,Birthday Cake,Rihanna Featuring Chris Brown
3407,Turn Up The Music,Chris Brown
3408,Somethin' 'Bout A Truck,Kip Moore
3409,Better Than I Used To Be,Tim McGraw
3410,Over You,Miranda Lambert
3411,Talk That Talk,Rihanna Featuring Jay-Z
3412,A Woman Like You,Lee Brice
3413,Strip,Chris Brown Featuring Kevin K-MAC McCall
3414,Alone With You,Jake Owen
3415,Can't Get Enough,J. Cole Featuring Trey Songz
3416,Tonight Is The Night,Outasight
3417,Love On Top,Beyonce
3418,Levels,Avicii
3419,Ours,Taylor Swift
3420,Home,Dierks Bentley
3421,You Da One,Rihanna
3422,Lonely Boy,The Black Keys
3423,Reality,Kenny Chesney
3424,Shake It Out,Florence + The Machine
3425,Blackout,Breathe Carolina
3426,Lotus Flower Bomb,Wale Featuring Miguel
3427,Red Solo Cup,Toby Keith
3428,You,Chris Young
3429,Make Me Proud,Drake Featuring Nicki Minaj
3430,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston
3431,Greatest Love Of All,Whitney Houston
3432,I Like It Like That,Hot Chelle Rae Featuring New Boyz
3433,I'm Gonna Love You Through It,Martina McBride
3434,Keep Me In Mind,Zac Brown Band
3435,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen
3436,Strange Clouds,B.o.B Featuring Lil Wayne
3437,Drink In My Hand,Eric Church
3438,Tattoos On This Town,Jason Aldean
3439,Let It Rain,David Nail Featuring Sarah Buxton
3440,Fly,Nicki Minaj Featuring Rihanna
3441,We Owned The Night,Lady Antebellum
3442,Nothing,The Script
3443,Baggage Claim,Miranda Lambert
3444,In The Dark,Dev
3445,You And I,Lady Gaga
3446,Sparks Fly,Taylor Swift
3447,Marvin & Chardonnay,Big Sean Featuring Kanye West & Roscoe Dash
3448,Otis,Jay Z Kanye West Featuring Otis Redding
3449,Mr. Saxobeat,Alexandra Stan
3450,Here For A Good Time,George Strait
3451,Take Over Control,Afrojack Featuring Eva Simons
3452,I Wanna Go,Britney Spears
3453,Made In America,Toby Keith
3454,Remind Me,Brad Paisley Duet With Carrie Underwood
3455,Keep Your Head Up,Andy Grammer
3456,Best Thing I Never Had,Beyonce
3457,Just Fishin',Trace Adkins
3458,You And Tequila,Kenny Chesney Featuring Grace Potter
3459,Knee Deep,Zac Brown Band Featuring Jimmy Buffett
3460,Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj
3461,Am I The Only One,Dierks Bentley
3462,Country Girl (Shake It For Me),Luke Bryan
3463,She Ain't You,Chris Brown
3464,Honey Bee,Blake Shelton
3465,Hello,Martin Solveig & Dragonette
3466,Old Alabama,Brad Paisley Featuring Alabama
3467,Best Love Song,T-Pain Featuring Chris Brown
3468,If Heaven Wasn't So Far Away,Justin Moore
3469,John,Lil Wayne Featuring Rick Ross
3470,Mean,Taylor Swift
3471,Who Says,Selena Gomez & The Scene
3472,You Lie,The Band Perry
3473,Written In The Stars,Tinie Tempah Featuring Eric Turner
3474,Backseat,New Boyz Featuring The Cataracs & Dev
3475,Born This Way,Lady Gaga
3476,Heart Like Mine,Miranda Lambert
3477,Price Tag,Jessie J Featuring B.o.B
3478,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey
3479,The Cave,Mumford & Sons
3480,I Won't Let Go,Rascal Flatts
3481,Colder Weather,Zac Brown Band
3482,What The Hell,Avril Lavigne
3483,This,Darius Rucker
3484,What Do You Want,Jerrod Niemann
3485,Are You Gonna Kiss Me Or Not,Thompson Square
3486,Rocketeer,Far*East Movement Featuring Ryan Tedder
3487,Let Me Down Easy,Billy Currington
3488,Marry Me,Train
3489,The Time (Dirty Bit),The Black Eyed Peas
3490,Hello World,Lady Antebellum
3491,Who Are You When I'm Not Looking,Blake Shelton
3492,Somewhere With You,Kenny Chesney
3493,Felt Good On My Lips,Tim McGraw
3494,Voices,Chris Young
3495,Back To December,Taylor Swift
3496,We R Who We R,Ke$ha
3497,Someone Else Calling You Baby,Luke Bryan
3498,Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele
3499,Put You In A Song,Keith Urban
3500,Please Don't Go,Mike Posner
3501,Dog Days Are Over,Florence + The Machine
3502,Can't Be Friends,Trey Songz
3503,Smoke A Little Smoke,Eric Church
3504,We No Speak Americano,Yolanda Be Cool & Dcup
3505,No Love,Eminem Featuring Lil Wayne
3506,The Breath You Take,George Strait
3507,My Kinda Party,Jason Aldean
3508,Why Wait,Rascal Flatts
3509,As She's Walking Away,Zac Brown Band Featuring Alan Jackson
3510,September,Daughtry
3511,Letting Go (Dutty Love),Sean Kingston Featuring Nicki Minaj
3512,Fancy,Drake Featuring T.I. & Swizz Beatz
3513,Take It Off,Ke$ha
3514,Come Back Song,Darius Rucker
3515,Misery,Maroon 5
3516,If I Had You,Adam Lambert
3517,Magic,B.o.B Featuring Rivers Cuomo
3518,If It's Love,Train
3519,Our Kind Of Love,Lady Antebellum
3520,Got Your Back,T.I. Featuring Keri Hilson
3521,Miss Me,Drake Featuring Lil Wayne
3522,Your Love,Nicki Minaj
3523,Pretty Good At Drinkin' Beer,Billy Currington
3524,Little White Church,Little Big Town
3525,The Only Exception,Paramore
3526,Teach Me How To Dougie,Cali Swag District
3527,Half Of My Heart,John Mayer
3528,Love Like Crazy,Lee Brice
3529,Undo It,Carrie Underwood
3530,"Lover, Lover",Jerrod Niemann
3531,Gettin' Over You,David Guetta & Chris Willis Featuring Fergie & LMFAO
3532,Impossible,Shontelle
3533,Ride,Ciara Featuring Ludacris
3534,Un-Thinkable (I'm Ready),Alicia Keys
