song,artist
On The Floor,Jennifer Lopez Featuring Pitbull
For The First Time,The Script
Club Can't Handle Me,Flo Rida Featuring David Guetta
Love The Way You Lie,Eminem Featuring Rihanna
Cooler Than Me,Mike Posner
Break Your Heart,Taio Cruz Featuring Ludacris
Say Aah,Trey Songz Featuring Fabolous
Live Like We're Dying,Kris Allen
Sweet Dreams,Beyonce
Dead And Gone,T.I. Featuring Justin Timberlake
It's Not My Time,3 Doors Down
With You,Chris Brown
Glamorous,Fergie Featuring Ludacris
It's Not Over,Daughtry
I Wanna Love You,Akon Featuring Snoop Dogg
My Love,Justin Timberlake Featuring T.I.
Crazy,Gnarls Barkley
Walk Away,Kelly Clarkson
Disco Inferno,50 Cent
Karma,Alicia Keys
One Thing,Finger Eleven
Leave (Get Out),JoJo
Baby Boy,Beyonce Featuring Sean Paul
Calling All Angels,Train
Your Body Is A Wonderland,John Mayer
Landslide,Dixie Chicks
Dilemma,Nelly Featuring Kelly Rowland
Soak Up The Sun,Sheryl Crow
My Sacrifice,Creed
Where The Party At,Jagged Edge With Nelly
Peaches & Cream,112
Ride Wit Me,Nelly Featuring City Spud
Dance With Me,Debelah Morgan
Bring It All To Me,Blaque
Sexual (Li Da Di),Amber
Scar Tissue,Red Hot Chili Peppers
Nobody's Supposed To Be Here,Deborah Cox
"Last Night (From ""The Nutty Professor"")",Az Yet
Loungin,LL Cool J
Just A Girl,No Doubt
I Can Love You Like That,All-4-One
Boombastic/In The Summertime,Shaggy
Don't Take It Personal (Just One Of Dem Days),Monica
"Shy Guy (From ""Bad Boys"")",Diana King
This Is How We Do It,Montell Jordan
Shine,Collective Soul
Whatta Man,Salt-N-Pepa Featuring En Vogue
Because The Night,"10,000 Maniacs"
Dreamlover,Mariah Carey
"(I Can’t Help) Falling in Love with You",UB40
I'll Never Get Over You (Getting Over Me),Expose
Two Princes,Spin Doctors
Hard To Handle,The Black Crowes
Round And Round,Tevin Campbell
High Enough,Damn Yankees
No More Lies,Michel'le
Wind Beneath My Wings,Bette Midler
Hands To Heaven,Breathe
You Can Call Me Al,Paul Simon
I Miss You,Klymaxx
Break My Stride,Matthew Wilder
Total Eclipse Of The Heart,Bonnie Tyler
"Tonight, I Celebrate My Love",Peabo Bryson/Roberta Flack
I Know There's Something Going On,Frida
You And I,Eddie Rabbitt With Crystal Gayle
Key Largo,Bertie Higgins
Upside Down,Diana Ross
With You I'm Born Again,Billy Preston & Syreeta
Disco Inferno,The Trammps
(Love Is) Thicker Than Water,Andy Gibb
Devil's Gun,C.J. & Company
Dream On,Aerosmith
Astronaut In The Ocean,Masked Wolf
Drivers License,Olivia Rodrigo
Dakiti,Bad Bunny & Jhay Cortez
ily,Surf Mesa Featuring Emilee
Savage,Megan Thee Stallion
High Fashion,Roddy Ricch Featuring Mustard
One Man Band,Old Dominion
"Thank U, Next",Ariana Grande
Mo Bamba,Sheck Wes
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B
Bank Account,21 Savage
Strip That Down,Liam Payne Featuring Quavo
In Case You Didn't Know,Brett Young
Bounce Back,Big Sean
Caroline,Amine
Side To Side,Ariana Grande Featuring Nicki Minaj
You Was Right,Lil Uzi Vert
Same Old Love,Selena Gomez
This Is How We Roll,Florida Georgia Line Ft. Jason Derulo & Luke Bryan
Na Na,Trey Songz
My Hitta,YG Featuring Jeezy & Rich Homie Quan
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo
Thinkin Bout You,Frank Ocean
Don't Wake Me Up,Chris Brown
Work Out,J. Cole
Stereo Love,Edward Maya & Vika Jigulina
Just A Dream,Nelly
Ridin' Solo,Jason Derulo
Your Love Is My Drug,Ke$ha
Nothin' On You,B.o.B Featuring Bruno Mars
Party In The U.S.A.,Miley Cyrus
The Climb,Miley Cyrus
Live Your Life,T.I. Featuring Rihanna
Miss Independent,Ne-Yo
Lollipop,Lil Wayne Featuring Static Major
Say,John Mayer
Sweetest Girl (Dollar Bill),"Wyclef Jean Featuring Akon, Lil Wayne & Niia"
Thnks Fr Th Mmrs,Fall Out Boy
Hate Me,Blue October
It's Goin' Down,Yung Joc
Snap Yo Fingers,Lil Jon
Savin' Me,Nickelback
SOS,Rihanna
Rompe,Daddy Yankee
Check On It,Beyonce Featuring Slim Thug
Grillz,"Nelly Featuring Paul Wall, Ali & Gipp"
We Be Burnin',Sean Paul
Lose Control,Missy Elliott Featuring Ciara & Fat Man Scoop
Switch,Will Smith
How We Do,The Game Featuring 50 Cent
I Don't Want To Be,Gavin DeGraw
Diary,Alicia Keys Featuring Tony! Toni! Tone!
Slow Motion,Juvenile Featuring Soulja Slim
Meant To Live,Switchfoot
It's My Life,No Doubt
Stand Up,Ludacris Featuring Shawnna
So Far Away,Staind
The Remedy (I Won't Worry),Jason Mraz
All You Wanted,Michelle Branch
What's Luv?,Fat Joe Featuring Ashanti
What Would You Do?,City High
Angel,Shaggy Featuring Rayvon
He Loves U Not,Dream
Independent Women Part I,Destiny's Child
Thong Song,Sisqo
That's The Way It Is,Celine Dion
My Love Is Your Love,Whitney Houston
She's So High,Tal Bachman
Man! I Feel Like A Woman!,Shania Twain
No Scrubs,TLC
That Don't Impress Me Much,Shania Twain
Heartbreak Hotel,Whitney Houston Feat. Faith Evans & Kelly Price
Back 2 Good,matchbox 20
Angel,Sarah McLachlan
Save Tonight,Eagle-Eye Cherry
Sex And Candy,Marcy Playground
Deja Vu [Uptown Baby],Lord Tariq & Peter Gunz
I Don't Ever Want To See You Again,Uncle Sam
Invisible Man,98 Degrees
Do You Know (What It Takes),Robyn
Cupid,112
Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase)
Only You,112 Featuring The Notorious B.I.G.
Before You Walk Out Of My Life/Like This And Like That,Monica
Water Runs Dry,Boyz II Men
I Wanna Be Down,Brandy
"Baby I Love Your Way (From ""Reality Bites"")",Big Mountain
Please Forgive Me,Bryan Adams
Dreams,Gabrielle
Show Me Love,Robin S.
Love Is,Brian McKnight
Rump Shaker,Wreckx-N-Effect
I'd Die Without You,P.M. Dawn
Baby Got Back,Sir Mix-A-Lot
Come & Talk To Me,Jodeci
All 4 Love,Color Me Badd
Back To Life,Soul II Soul
Hooked On You,Sweet Sensation
"In Your Eyes (Theme From ""Say Anything"")",Peter Gabriel
When I'm With You,Sheriff
"Kokomo (From""Cocktail"" )",The Beach Boys
Please Don't Go Girl,New Kids On The Block
Here I Go Again,Whitesnake
Only In My Dreams,Debbie Gibson
What's Love Got To Do With It,Tina Turner
Hurts So Good,John Cougar
Don't You Want Me,The Human League
Chariots Of Fire - Titles,Vangelis
Keep On Loving You,REO Speedwagon
I Love A Rainy Night,Eddie Rabbitt
Dance With Me,Peter Brown With Betty Wright
"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",Chic
Falling,LeBlanc & Carr
On And On,Stephen Bishop
She's Gone,Daryl Hall John Oates
Sara Smile,Daryl Hall John Oates
Love Machine (Part 1),The Miracles
Venus,Frankie Avalon
Breaking Up Is Hard To Do,Neil Sedaka
One Hell Of A Woman,Mac Davis
The Little Drummer Boy,The Harry Simeone Chorale
Save Your Tears,The Weeknd & Ariana Grande
Wockesha,Moneybagg Yo
Therefore I Am,Billie Eilish
34+35,Ariana Grande
Kings & Queens,Ava Max
My Oh My,Camila Cabello Featuring DaBaby
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin
Heart On Ice,Rod Wave
Pop Out,Polo G Featuring Lil Tjay
Whiskey Glasses,Morgan Wallen
Middle Child,J. Cole
Envy Me,Calboy
MIA,Bad Bunny Featuring Drake
Trip,Ella Mai
Beautiful,Bazzi Featuring Camila Cabello
Natural,Imagine Dragons
No Tears Left To Cry,Ariana Grande
Whatever It Takes,Imagine Dragons
Heaven,Kane Brown
Let You Down,NF
Lights Down Low,MAX Featuring gnash
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar
Black Beatles,Rae Sremmurd Featuring Gucci Mane
Cold Water,Major Lazer Featuring Justin Bieber & MO
Gold,Kiiara
Send My Love (To Your New Lover),Adele
Oui,Jeremih
Hide Away,Daya
Wildest Dreams,Taylor Swift
Locked Away,R. City Featuring Adam Levine
Flex (Ooh Ooh Ooh),Rich Homie Quan
Uma Thurman,Fall Out Boy
Time Of Our Lives,Pitbull & Ne-Yo
Classic,MKTO
Holy Grail,Jay Z Featuring Justin Timberlake
Sweet Nothing,Calvin Harris Featuring Florence Welch
F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar"
Blow Me (One Last Kiss),P!nk
Rumour Has It,Adele
Turn Me On,David Guetta Featuring Nicki Minaj
Dirt Road Anthem,Jason Aldean
The Lazy Song,Bruno Mars
Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes
Only Girl (In The World),Rihanna
Deuces,Chris Brown Featuring Tyga & Kevin McCall
California Gurls,Katy Perry Featuring Snoop Dogg
Billionaire,Travie McCoy Featuring Bruno Mars
Bulletproof,La Roux
Imma Be,The Black Eyed Peas
Paparazzi,Lady Gaga
Day 'N' Nite,Kid Cudi
Blame It,Jamie Foxx Featuring T-Pain
Kiss Me Thru The Phone,Soulja Boy Tell 'em Featuring Sammie
Single Ladies (Put A Ring On It),Beyonce
Gotta Be Somebody,Nickelback
Got Money,Lil Wayne Featuring T-Pain
Dangerous,Kardinal Offishall Featuring Akon
Take A Bow,Rihanna
See You Again,Miley Cyrus
Stronger,Kanye West
We Fly High,Jim Jones
Fergalicious,Fergie
Me & U,Cassie
Wake Me Up When September Ends,Green Day
Pon de Replay,Rihanna
Listen To Your Heart,D.H.T.
Just A Lil Bit,50 Cent
Rich Girl,Gwen Stefani Featuring Eve
Caught Up,Usher
On The Way Down,Ryan Cabrera
Locked Up,Akon Featuring Styles P.
Walked Outta Heaven,Jagged Edge
Step In The Name Of Love,R. Kelly
Crazy In Love,Beyonce Featuring Jay Z
I'm With You,Avril Lavigne
Beautiful,Christina Aguilera
Love Of My Life (An Ode To Hip Hop),Erykah Badu Featuring Common
Heaven,DJ Sammy & Yanou Featuring Do
Ain't It Funny,Jennifer Lopez Featuring Ja Rule
Always On Time,Ja Rule Featuring Ashanti
The Star Spangled Banner,Whitney Houston
Fill Me In,Craig David
Put It On Me,Ja Rule Featuring Lil' Mo & Vita
Most Girls,P!nk
Absolutely (Story Of A Girl),Nine Days
I Try,Macy Gray
Meet Virginia,Train
The Rockafeller Skank,Fatboy Slim
Lately,Divine
Adia,Sarah McLachlan
The Boy Is Mine,Brandy & Monica
Make Em' Say Uhh!,"Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal"
No Tengo Dinero,Los Umbrellos
If It Makes You Happy,Sheryl Crow
Pony,Ginuwine
One Sweet Day,Mariah Carey & Boyz II Men
I Wish,Skee-Lo
Total Eclipse Of The Heart,Nicki French
Hold On,Jamie Walters
If You Love Me,Brownstone
On Bended Knee,Boyz II Men
The Rhythm Of The Night,Corona
Before I Let You Go,BLACKstreet
New Age Girl,Deadeye Dick
"December 1963 (Oh, What A Night)",The 4 Seasons
Now And Forever,Richard Marx
Cantaloop (Flip Fantasia),US3
The River Of Dreams,Billy Joel
If,Janet Jackson
I'm So Into You,SWV
"Nuthin' But A ""G"" Thang",Dr. Dre
No Ordinary Love,Sade
If I Ever Fall In Love,Shai
What About Your Friends,TLC
Save The Best For Last,Vanessa Williams
I'll Never Let You Go,Steelheart
Sending All My Love,Linear
Here And Now,Luther Vandross
Love Song,Tesla
Love Shack,The B-52's
The Loco-Motion,Kylie Minogue
"Wild, Wild West",The Escape Club
The Flame,Cheap Trick
Naughty Girls (Need Love Too),Samantha Fox
Hot In The City,Billy Idol
Heart And Soul,T'Pau
Something About You,Level 42
Conga,Miami Sound Machine
Take On Me,a-ha
Missing You,Diana Ross
On The Dark Side,John Cafferty & The Beaver Brown Band
Twilight Zone,Golden Earring
Mickey,Toni Basil
Steppin' Out,Joe Jackson
Who Can It Be Now?,Men At Work
867-5309/jenny,Tommy Tutone
Endless Love,Diana Ross & Lionel Richie
Queen Of Hearts,Juice Newton
A Woman Needs Love (Just Like You Do),Ray Parker Jr. & Raydio
I Love You,Climax Blues Band
All Out Of Love,Air Supply
Do That To Me One More Time,Captain & Tennille
Sad Eyes,Robert John
I Will Survive,Gloria Gaynor
Stayin' Alive,Bee Gees
Emotion,Samantha Sang
Just The Way You Are,Billy Joel
Boogie Nights,Heatwave
Send In The Clowns,Judy Collins
(your Love Has Lifted Me) Higher And Higher,Rita Coolidge
Angel In Your Arms,Hot
I Like Dreamin',Kenny Nolan
I Never Cry,Alice Cooper
Love Is Alive,Gary Wright
"December, 1963 (Oh, What a Night)",The 4 Seasons
"Black Superman - ""Muhammad Ali""",Johnny Wakelin & The Kinshasa Band
Running Bear,Johnny Preston
Chasing After You,Ryan Hurd With Maren Morris
On Me,Lil Baby
The Christmas Song (Merry Christmas To You),Nat King Cole
One Of Them Girls,Lee Brice
Death Bed,Powfu Featuring beabadoobee
Roxanne,Arizona Zervas
Hot,Young Thug Featuring Gunna
Beautiful People,Ed Sheeran Featuring Khalid
Talk You Out Of It,Florida Georgia Line
Money,Cardi B
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black
Back To You,Selena Gomez
I Get The Bag,Gucci Mane Featuring Migos
Loyalty.,Kendrick Lamar Featuring Rihanna
Swang,Rae Sremmurd
I Feel It Coming,The Weeknd Featuring Daft Punk
Chill Bill,Rob $tone Featuring J. Davi$ & Spooks
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz
Controlla,Drake
Just Like Fire,P!nk
Never Be Like You,Flume Featuring Kai
Really Really,Kevin Gates
One Call Away,Charlie Puth
Hello,Adele
Antidote,Travis Scott
Again,Fetty Wap
Good For You,Selena Gomez Featuring A$AP Rocky
Slow Motion,Trey Songz
Somebody,Natalie La Rose Featuring Jeremih
No Type,Rae Sremmurd
Work It,"Missy ""Misdemeanor"" Elliott"
A Sky Full Of Stars,Coldplay
Summer,Calvin Harris
Say Something,A Great Big World & Christina Aguilera
Love More,Chris Brown Featuring Nicki Minaj
We Can't Stop,Miley Cyrus
The Way,Ariana Grande Featuring Mac Miller
Bad,Wale
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy
Wagon Wheel,Darius Rucker
Suit & Tie,Justin Timberlake Featuring JAY Z
Diamonds,Rihanna
Wide Awake,Katy Perry
No Lie,2 Chainz Featuring Drake
Where Have You Been,Rihanna
Heart Attack,Trey Songz
Feel So Close,Calvin Harris
International Love,Pitbull Featuring Chris Brown
A Thousand Years,Christina Perri
Blow,Ke$ha
S&M,Rihanna Featuring Britney Spears
Bottoms Up,Trey Songz Featuring Nicki Minaj
Like A G6,Far*East Movement Featuring Cataracs & Dev
Carry Out,Timbaland Featuring Justin Timberlake
Tie Me Down,New Boyz Featuring Ray J
Evacuate The Dancefloor,Cascada
Please Don't Leave Me,P!nk
That's Not My Name,The Ting Tings
Right Round,Flo Rida
Green Light,John Legend Featuring Andre 3000
Realize,Colbie Caillat
Sexy Can I,Ray J & Yung Berg
Kiss Kiss,Chris Brown Featuring T-Pain
Hate That I Love You,Rihanna Featuring Ne-Yo
First Time,Lifehouse
Makes Me Wonder,Maroon 5
Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake
The Way I Live,Baby Boy Da Prince Featuring Lil Boosie
Welcome To The Black Parade,My Chemical Romance
Through Glass,Stone Sour
Promiscuous,Nelly Furtado Featuring Timbaland
Dani California,Red Hot Chili Peppers
Who Says You Can't Go Home,Bon Jovi
Stickwitu,The Pussycat Dolls
Laffy Taffy,D4L
I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow"
I'm Sprung,T-Pain
Shake It Off,Mariah Carey
Don't Phunk With My Heart,The Black Eyed Peas
Sugar (Gimme Some),Trick Daddy
My Boo,Usher And Alicia Keys
Move Ya Body,Nina Sky Featuring Jabba
Dude,Beenie Man Featuring Ms. Thing
Dirt Off Your Shoulder,JAY-Z
Salt Shaker,Ying Yang Twins Featuring Lil Jon & The East Side Boyz
Read Your Mind,Avant
Into You,Fabolous
dontchange,Musiq
Cry,Faith Hill
If I Could Go!,Angie Martinez Featuring Lil' Mo & Sacario
I Need A Girl (Pt. 2),Diddy
Hot In Herre,Nelly
U Don't Have To Call,Usher
Stutter,Joe Featuring Mystikal
This I Promise You,'N Sync
No More,Ruff Endz
Incomplete,Sisqo
Desert Rose,Sting Featuring Cheb Mami
Purest Of Pain (A Puro Dolor),Son By Four
Maria Maria,Santana Featuring The Product G&B
Then The Morning Comes,Smash Mouth
Touch It,Monifah
When The Lights Go Out,Five
My Love Is The Shhh!,Somethin' For The People Featuring Trina & Tamara
I Belong To You (Every Time I See Your Face),Rome
Every Time I Close My Eyes,Babyface
Naked Eye,Luscious Jackson
Time,Hootie & The Blowfish
Set U Free,Planet Soul
Every Little Thing I Do,Soul For Real
Strong Enough,Sheryl Crow
Never Lie,Immature
"Can You Feel The Love Tonight (From ""The Lion King"")",Elton John
"I'll Remember (From ""With Honors"")",Madonna
Return To Innocence,Enigma
The Most Beautiful Girl In The World,Prince
Can We Talk,Tevin Campbell
What Is Love,Haddaway
Cryin',Aerosmith
Another Sad Love Song,Toni Braxton
Runaway Train,Soul Asylum
Weak,SWV
What's Up,4 Non Blondes
Would I Lie To You?,Charles & Eddie
Please Don't Go,K.W.S.
Life Is A Highway,Tom Cochrane
Under The Bridge,Red Hot Chili Peppers
Tears In Heaven,Eric Clapton
I Love Your Smile,Shanice
Do You Want Me,Salt-N-Pepa
From A Distance,Bette Midler
Love Takes Time,Mariah Carey
I Don't Have The Heart,James Ingram
(Can't Live Without Your) Love And Affection,Nelson
If You Leave Me Now,Jaya
Don't Know Much,Linda Ronstadt (Featuring Aaron Neville)
Once Bitten Twice Shy,Great White
Girl You Know It's True,Milli Vanilli
You Got It (The Right Stuff),New Kids On The Block
"Don't Worry, Be Happy",Bobby McFerrin
Don't Be Cruel,Bobby Brown
I Hate Myself For Loving You,Joan Jett & the Blackhearts
I Still Believe,Brenda K. Starr
I Found Someone,Cher
The Lady In Red,Chris de Burgh
You Got It All,The Jets
All Cried Out,Lisa Lisa And Cult Jam
Twist And Shout,The Beatles
I Feel For You,Chaka Khan
I Just Called To Say I Love You,Stevie Wonder
Caribbean Queen (No More Love On The Run),Billy Ocean
The Glamorous Life,Sheila E.
Talking In Your Sleep,The Romantics
Sweet Dreams (Are Made Of This),Eurythmics
Physical,Olivia Newton-John
Believe It or Not,Joey Scarbury
Bette Davis Eyes,Kim Carnes
9 To 5,Dolly Parton
The Winner Takes It All,ABBA
The Tide Is High,Blondie
He's So Shy,The Pointer Sisters
Fame,Irene Cara
Please Don't Go,KC And The Sunshine Band
Y.M.C.A.,Village People
You Needed Me,Anne Murray
Don't It Make My Brown Eyes Blue,Crystal Gayle
Whatcha Gonna Do?,Pablo Cruise
You Don't Have To Be A Star (To Be In My Show),"Marilyn McCoo & Billy Davis, Jr."
Kiss And Say Goodbye,The Manhattans
Get Closer,Seals & Crofts (Featuring Carolyn Willis)
I've Found Someone Of My Own,The Free Movement
Sunshine Of Your Love,Cream
Moon River,Henry Mancini And His Orchestra
Never On Sunday,Don Costa And His Orchestra And Chorus
Finger Poppin' Time,Hank Ballard And The Midnighters
Mack The Knife,Bobby Darin
Robbin' The Cradle,Tony Bellus
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion
Telepatia,Kali Uchis
Put Your Records On,Ritt Momney
Better Together,Luke Combs
Good Time,Niko Moon
Holy,Justin Bieber Featuring Chance The Rapper
One Beer,HARDY Featuring Lauren Alaina & Devin Dawson
Got What I Got,Jason Aldean
Die From A Broken Heart,Maddie & Tae
Emotionally Scarred,Lil Baby
P*$$y Fairy (OTW),Jhene Aiko
Nobody But You,Blake Shelton Duet With Gwen Stefani
I Hope You're Happy Now,Carly Pearce & Lee Brice
Worth It,YK Osiris
Con Calma,Daddy Yankee & Katy Perry Featuring Snow
Pure Water,Mustard & Migos
Close to Me,Ellie Goulding & Diplo
ZEZE,Kodak Black Featuring Travis Scott & Offset
Leave Me Alone,Flipp Dinero
Breathin,Ariana Grande
Nice For What,Drake
Look Alive,BlocBoy JB Featuring Drake
Sky Walker,Miguel Featuring Travis Scott
Roll In Peace,Kodak Black Featuring XXXTENTACION
Do Re Mi,blackbear
Rolex,Ayo & Teo
T-Shirt,Migos
Fake Love,Drake
2 Phones,Kevin Gates
No Role Modelz,J. Cole
Where Ya At,Future Featuring Drake
Burning House,Cam
Bad Blood,Taylor Swift Featuring Kendrick Lamar
Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown"
Get Ur Freak On,"Missy ""Misdemeanor"" Elliott"
Waves,Mr. Probz
Hot Boy,Bobby Shmurda
Stolen Dance,Milky Chance
Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan
Boom Clap,Charli XCX
Problem,Ariana Grande Featuring Iggy Azalea
Bottoms Up,Brantley Gilbert
Billie Jean,Michael Jackson
Gas Pedal,Sage The Gemini Featuring IamSu!
I Need Your Love,Calvin Harris Featuring Ellie Goulding
Daylight,Maroon 5
Hall Of Fame,The Script Featuring will.i.am
Time Is Love,Josh Turner
Rack City,Tyga
Brighter Than The Sun,Colbie Caillat
Headlines,Drake
God Gave Me You,Blake Shelton
Motivation,Kelly Rowland Featuring Lil Wayne
All Of The Lights,Kanye West
Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E
Black And Yellow,Wiz Khalifa
Not Afraid,Eminem
There Goes My Baby,Usher
Young Forever,Jay-Z + Mr. Hudson
BedRock,Young Money Featuring Lloyd
One Time,Justin Bieber
Good Girls Go Bad,Cobra Starship Featuring Leighton Meester
Sober,P!nk
Chicken Fried,Zac Brown Band
What You Got,Colby O'Donis Featuring Akon
Love In This Club,Usher Featuring Young Jeezy
Independent,Webbie Featuring Lil' Phat & Lil' Boosie
Take You There,Sean Kingston
Clumsy,Fergie
Over You,Daughtry
Until the End of Time (Remix),Justin Timberlake
The Great Escape,Boys Like Girls
What Goes Around...Comes Around,Justin Timberlake
Money Maker,Ludacris Featuring Pharrell
U And Dat,E-40 Featuring T-Pain & Kandi Girl
What's Left Of Me,Nick Lachey
"Lean Wit It, Rock Wit It",Dem Franchize Boyz
So Sick,Ne-Yo
One Wish,Ray J
Baby I'm Back,Baby Bash Featuring Akon
Some Cut,Trillville Featuring Cutty
My Happy Ending,Avril Lavigne
Turn Me On,Kevin Lyttle Featuring Spragga Benz
Jesus Walks,Kanye West
Confessions Part II,Usher
I'm Still In Love With You,Sean Paul Featuring Sasha
Are You Gonna Be My Girl,Jet
Where Is The Love?,The Black Eyed Peas
